,email_hash,android_number_interventions,android_avg_goal_time,android_proportion_interventions,android_number_sessions,android_other_time,android_goal_time,android_total_time,browser_number_interventions,browser_avg_goal_time,browser_proportion_interventions,browser_number_sessions,browser_other_time,browser_goal_time,browser_total_time
0,2b4560fa696cfd842dc1cbcd24b12d1674b7cf267f4c1920971080ef87dc2311,36,4.9063324199965646,0.14937759336099585,241,8.655214489313613,6.852242569051878,8.807771066980044,5,4.624972813284271,0.06097560975609756,82,8.641885635373555,5.318119993844216,8.677269139262872
1,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,63,7.321408990995854,0.2413793103448276,261,8.778325928634482,8.420021279663963,9.308283446306147,3,5.173320876373351,0.17647058823529413,17,6.52795791762255,5.8664680569332965,6.9440872082295275
2,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,104,8.659386957119413,0.20594059405940593,505,9.012133305952004,9.757999245787522,10.146198409342867,8,4.912654885736052,0.08695652173913043,92,9.205026277152413,5.605802066295998,9.23200401161221
3,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,134,7.745579837576859,0.1439312567132116,931,9.89141497130186,8.844192126244968,10.192194100034097,7,6.493753839851686,0.09210526315789473,76,8.839566503657949,6.493753839851686,8.93102321585603
4,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,100,7.773384096054064,0.2070393374741201,483,9.615805480084347,8.46653127661401,9.891060657528001,15,6.710523109452428,0.09433962264150944,159,9.178746500385005,6.710523109452428,9.260082463870997
5,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,37,6.8294333122066675,0.23870967741935484,155,8.035602692918582,7.928045600874777,8.676416696964216,11,5.600272098286537,0.16176470588235295,68,8.599141774063405,6.293419278846481,8.694167141883597
6,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,92,8.36380888451688,0.14862681744749595,619,9.987690823818202,9.46242117318499,10.452302362206153,8,5.768320995793772,0.04145077720207254,193,9.299449547047958,6.461468176353717,9.356343666096025
7,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,40,7.629975707027789,0.12578616352201258,318,9.702961291087327,8.728587995695898,10.023179875454133,8,5.998936561946683,0.07476635514018691,107,8.987821625430815,5.998936561946683,9.036938912556787
8,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,21,8.62293363489235,0.07608695652173914,276,8.07775756373692,9.721545923560459,9.89822372286103,9,5.772997543677674,0.09782608695652174,92,8.69851424787661,6.466144724237619,8.800415333145924
9,f653fba473726066017d092faf775b60a39bd4616590332eb815f0bb74fa22f2,10,7.176764086168297,0.06329113924050633,158,7.336936913707618,8.275376374836407,8.60557030203365,13,6.067267510523482,0.12037037037037036,108,8.649273531773446,6.760414691083428,8.790116892892472
