,num_browser_goals,target_time,browser_intensity,email_hash,total_time,goal_time,other_time
0,6,0.0,0.3333333333333333,2b4560fa696cfd842dc1cbcd24b12d1674b7cf267f4c1920971080ef87dc2311,8.207674424355282,6.169610732491456,8.068089626278244
1,6,0.0,0.6666666666666666,2b4560fa696cfd842dc1cbcd24b12d1674b7cf267f4c1920971080ef87dc2311,5.384495062789089,2.5649493574615367,5.3230099791384085
2,4,0.0,1.0,8b24da789d3a62d3ec752b2f6c9130c8b40e9a1192334a21a38d6fb55ac374ef,8.357024439263416,7.842671474979457,7.44600149832412
3,4,0.0,1.0,8b24da789d3a62d3ec752b2f6c9130c8b40e9a1192334a21a38d6fb55ac374ef,9.078978053779355,6.173786103901937,9.022684613591526
4,8,0.0,0.375,539415565b33813048d7234428a44584980fce57d21ebc622931fc04ff504fbe,8.471568013389962,6.959398512133975,8.222553638396958
5,8,0.0,0.375,539415565b33813048d7234428a44584980fce57d21ebc622931fc04ff504fbe,10.872939832524516,8.241966560231802,10.79820729448214
6,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,10.041421738625441,8.768107539675803,9.713053175631623
7,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,9.590008925040337,7.77779262633883,9.411728991487363
8,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,10.156616999340594,8.693161274238017,9.8933867103567
9,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,10.362714572154392,8.444622498581403,10.203851370643852
10,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,10.043336447652527,8.780787468338929,9.7107519573933
11,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,9.70880997353259,7.796469243086058,9.548953173096507
12,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,8.643649615368796,7.492760300922379,8.263332667439967
13,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,10.438722822031876,8.583916823459145,10.268547246009254
14,2,0.0,0.0,6524721709b01aca567a3b240d63b529c939fc9b6fb13d3fa1a84de30f7c29d0,10.46561447065767,8.391176350832751,10.331366255481193
15,2,0.0,0.0,60f8b28fc59aaccb2741fcc0b1c632e82b2848a7dfd661ef9f5bd27e5690d9a0,10.023978030870751,9.284519770150434,9.375091807576673
16,2,0.0,0.0,60f8b28fc59aaccb2741fcc0b1c632e82b2848a7dfd661ef9f5bd27e5690d9a0,9.54230245311951,8.41847721847708,9.149209371971951
17,2,0.0,0.0,60f8b28fc59aaccb2741fcc0b1c632e82b2848a7dfd661ef9f5bd27e5690d9a0,9.727942980021197,8.25088114470065,9.46877384406884
