,intensity,email_hash,total_time,goal_time,other_time,avg_goal_time,avg_freq_time,avg_infreq_time,num_freq_goals,num_infreq_goals
0,0.5,883c1ba5c4e5472d2f8067d6,7.105786129481271,6.18826412308259,6.595780513961311,3.094132061541295,6.18826412308259,0.0,1,1
1,0.75,d49e6ce9c7fadc10f3baf7bd,6.78897174299217,0.0,6.78897174299217,0.0,0.0,0.0,3,1
2,0.25,d49e6ce9c7fadc10f3baf7bd,5.19295685089021,0.0,5.19295685089021,0.0,0.0,0.0,1,3
3,0.25,d49e6ce9c7fadc10f3baf7bd,8.07153089355666,0.0,8.07153089355666,0.0,0.0,0.0,1,3
4,0.8,d49e6ce9c7fadc10f3baf7bd,4.5217885770490405,1.6094379124341003,4.465908118654584,0.32188758248682003,0.40235947810852507,0.0,4,1
5,0.8,d49e6ce9c7fadc10f3baf7bd,6.942156705699469,5.60947179518496,6.635946555686647,1.1218943590369919,1.40236794879624,0.0,4,1
6,0.8,d49e6ce9c7fadc10f3baf7bd,8.114025442356757,6.045005314036012,7.978996370854115,1.2090010628072023,1.511251328509003,0.0,4,1
7,0.3333333333333333,601ef212e501d1cdccebf63b,9.31695010703444,8.464635940677562,8.761080103868347,2.8215453135591875,7.3796321526095525,4.0261482497693235,1,2
8,0.3333333333333333,601ef212e501d1cdccebf63b,9.791605819888035,8.863757191604241,9.288411907396338,2.954585730534747,7.591357046698551,4.267516554772285,1,2
9,0.4,9e63d7e9d250c795b9c657e8,8.311398278436641,7.081708586105575,7.965545573129992,1.416341717221115,3.372029593155674,1.9439608257611722,2,3
10,0.4,9e63d7e9d250c795b9c657e8,9.235520670506482,8.45914025996762,8.619208116822968,1.691828051993524,4.1835338664193,2.0094261734102328,2,3
11,0.4,9e63d7e9d250c795b9c657e8,8.434028950155469,7.547501682814967,7.902857191280582,1.5095003365629933,3.6978608043010226,1.86241621946675,2,3
12,0.4,9e63d7e9d250c795b9c657e8,4.844187086458591,0.0,4.844187086458591,0.0,0.0,0.0,2,3
13,0.6666666666666666,9aa2418cff3facda9bb90c15,8.927446816256198,7.640603826393634,8.604287898267172,2.5468679421312115,3.598343285417175,6.61472560020376,2,1
14,0.6666666666666666,9aa2418cff3facda9bb90c15,9.470240063415512,9.043695294567236,8.412499120301572,3.014565098189079,4.486992463344872,6.345636360828596,2,1
15,0.6666666666666666,9aa2418cff3facda9bb90c15,7.768956044538332,6.0063531596017325,7.580699752224563,2.002117719867244,2.610177912539162,5.3981627015177525,2,1
16,0.3333333333333333,9aa2418cff3facda9bb90c15,8.940629184845639,7.805882040228621,8.552753366814787,2.601960680076207,7.045776576879511,3.587744856812111,1,2
17,0.6666666666666666,9aa2418cff3facda9bb90c15,7.443663683115591,6.695798917058491,6.802394763324311,2.2319329723528303,3.284038955705988,4.574710978503383,2,1
18,0.3333333333333333,9aa2418cff3facda9bb90c15,5.54907608489522,4.060443010546419,5.293304824724492,1.353481003515473,0.0,2.0302215052732095,1,2
19,0.3333333333333333,a09f4d8b6326097b44238b62,8.224431573221159,2.833213344056216,8.219864741912652,0.9444044480187387,2.833213344056216,0.0,1,2
20,0.3333333333333333,a09f4d8b6326097b44238b62,7.677400430514807,7.154615356913663,6.778784897685177,2.3848717856378876,6.706862336602747,3.0677824455408693,1,2
21,0.3333333333333333,a09f4d8b6326097b44238b62,7.883069351305753,5.1647859739235145,7.814803429489359,1.7215953246411715,5.1647859739235145,0.0,1,2
22,0.3333333333333333,a09f4d8b6326097b44238b62,7.993619994827744,3.2188758248682006,7.98514393119862,1.0729586082894003,3.1354942159291497,0.34657359027997264,1,2
23,0.3333333333333333,a09f4d8b6326097b44238b62,6.61472560020376,0.0,6.61472560020376,0.0,0.0,0.0,1,2
24,0.3333333333333333,a09f4d8b6326097b44238b62,6.259581464064923,2.70805020110221,6.230481447578482,0.9026834003674034,2.70805020110221,0.0,1,2
25,0.3333333333333333,a09f4d8b6326097b44238b62,5.4510384535657,5.337538079701318,3.2188758248682006,1.7791793599004393,0.0,2.668769039850659,1,2
26,0.5,1ac8e0729bdbcff844ba9739,8.649974302650056,0.0,8.649974302650056,0.0,0.0,0.0,2,2
27,0.5,1ac8e0729bdbcff844ba9739,6.8001700683022,0.0,6.8001700683022,0.0,0.0,0.0,2,2
28,0.5,1ac8e0729bdbcff844ba9739,7.52294091807237,0.0,7.52294091807237,0.0,0.0,0.0,2,2
29,0.5,1ac8e0729bdbcff844ba9739,9.013838751608395,8.07961802938984,8.514790306799927,2.01990450734746,4.03980901469492,0.0,2,2
30,0.5,1ac8e0729bdbcff844ba9739,8.222285073872717,7.344072850573066,7.685243607975833,1.8360182126432665,3.672036425286533,0.0,2,2
31,0.5,1ac8e0729bdbcff844ba9739,8.426830751335846,7.774015077250727,7.691656822810547,1.9435037693126818,3.8870075386253635,0.0,2,2
32,0.5,1ac8e0729bdbcff844ba9739,9.232688775639945,8.850660919017152,8.085486772102845,2.212665229754288,4.425330459508576,0.0,2,2
33,0.5,1ac8e0729bdbcff844ba9739,7.982074875081202,7.552762084214147,6.92951677076365,1.8881905210535368,3.7625503730629,1.9756218592907138,2,2
34,0.5,1ac8e0729bdbcff844ba9739,9.211040127090456,8.580918882296782,8.450625947144124,2.1452297205741955,4.2549835731622485,2.9499486767912457,2,2
35,0.5,1ac8e0729bdbcff844ba9739,9.137124309644923,8.936692688488204,7.431299675155903,2.234173172122051,4.453738488764369,2.6945358649082505,2,2
