,avg_goal_time,email_hash,other_time,intensity_day,goal_time,total_time
0,4.634728988229636,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,10.162963033097729,1.0,4.634728988229636,10.166928160614875
1,5.984775558957185,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,8.27715777243181,0.5,7.083387847625295,8.54188580400661
2,6.251903883165888,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,10.53278930504732,0.6818181818181818,7.638198244285779,10.58663490101774
3,5.476463551931511,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,7.195187320178709,0.782608695652174,6.169610732491456,7.501634457883413
4,7.950149887652018,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,10.703873483765673,1.0,9.048762176320128,10.888688485813491
5,6.411270772486803,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,8.863898604317479,1.0,7.509883061154913,9.093581811365986
6,7.037905963447182,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,9.686885061765299,1.0,7.731053144007127,9.819181603482871
7,7.17127272443462,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,9.385721231090805,1.0,7.864419904994565,9.583282288378786
8,6.305362461690656,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,10.359233776285055,1.0,7.691656822810547,10.426350436912623
9,7.122866658599083,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,10.351373376528244,1.0,7.122866658599083,10.392619562216863
10,7.721644077238211,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,9.504873919377065,1.0,8.820256365906321,9.913190327997514
11,6.7137659173205,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,10.583802754280695,1.0,7.81237820598861,10.644519725816647
12,6.725833642209509,739e11589479d8e6b88aec1b86ec8c4a023691db6c9d0aab05a4b3a508b0e2db,8.93840040647301,1.0,7.824445930877619,9.222861652529854
